My method:
200 : 0.000993967056274414
300 : 0.0109100341796875
400 : 0.020545244216918945
500 : 0.048583030700683594
600 : 0.053468942642211914
700 : 0.08207082748413086
800 : 0.10119748115539551
900 : 0.13437128067016602
1000 : 0.1661980152130127
1100 : 0.2222611904144287
1200 : 0.27647876739501953
1300 : 0.31159090995788574
1400 : 0.33177614212036133
1500 : 0.38268566131591797
1600 : 0.45998549461364746
1700 : 0.5061702728271484
1800 : 0.5588381290435791
1900 : 0.6552860736846924
2000 : 0.721757173538208
2100 : 0.7843201160430908
2200 : 0.8384115695953369
2300 : 0.9453587532043457
2400 : 1.0640525817871094
2500 : 1.123570442199707
2600 : 1.1915032863616943
2700 : 1.3378934860229492
2800 : 1.3925724029541016
2900 : 1.4897682666778564
3000 : 1.6320810317993164
3100 : 1.7050867080688477
3200 : 1.8397862911224365
3300 : 1.9500863552093506
3400 : 2.277902126312256
3500 : 2.5617799758911133
3600 : 2.512965202331543
3700 : 2.7493386268615723
3800 : 2.8671774864196777
3900 : 3.332925796508789
4000 : 3.1884102821350098
4100 : 3.6675939559936523
4200 : 5.145100831985474
4300 : 5.343024253845215
4400 : 5.447890043258667
4500 : 5.783279180526733
4600 : 4.418912649154663
4700 : 4.000966548919678
4800 : 4.182255744934082
4900 : 4.396899700164795
5000 : 4.651979207992554
5100 : 4.79852819442749

Python default:
200 : 0.000997304916381836
300 : 0.0
400 : 0.001043558120727539
500 : 0.0
600 : 0.0
700 : 0.0
800 : 0.0
900 : 0.0
1000 : 0.0
1100 : 0.0
1200 : 0.0
1300 : 0.0009913444519042969
1400 : 0.0
1500 : 0.0011203289031982422
1600 : 0.0
1700 : 0.0
1800 : 0.0
1900 : 0.0010027885437011719
2000 : 0.0011372566223144531
2100 : 0.0
2200 : 0.0009965896606445312
2300 : 0.0
2400 : 0.0009920597076416016
2500 : 0.0
2600 : 0.00504612922668457
2700 : 0.0
2800 : 0.0
2900 : 0.0010395050048828125
3000 : 0.0050241947174072266
3100 : 0.0
3200 : 0.0018241405487060547
3300 : 0.0
3400 : 0.0017151832580566406
3500 : 0.0
3600 : 0.005590915679931641
3700 : 0.002328634262084961
3800 : 0.0
3900 : 0.0
4000 : 0.00496220588684082
4100 : 0.002069711685180664
4200 : 0.0
4300 : 0.0
4400 : 0.0
4500 : 0.0
4600 : 0.005045175552368164
4700 : 0.0
4800 : 0.0
4900 : 0.0
5000 : 0.004600048065185547
5100 : 0.0
